Designator,Mid X,Mid Y,Rotation,Layer
C1,102.1,-80.78,270.0,bottom
C10,81.7,-81.4,45.0,bottom
C11,79.839411,-86.439411,45.0,bottom
C12,88.8,-89.78,270.0,bottom
C13,92.0,-85.71,135.0,bottom
C14,157.8,-102.75,0.0,bottom
C15,157.625,-104.6,0.0,bottom
C16,177.4,-118.35,270.0,bottom
C17,98.4,-85.9,0.0,bottom
C18,165.35,-119.2,180.0,bottom
C19,166.225,-104.525,180.0,bottom
C2,98.42,-84.9,0.0,bottom
C20,168.85,-103.6,90.0,bottom
C21,170.69375,-103.8,90.0,bottom
C22,154.325,-108.57,90.0,bottom
C23,157.3,-113.25,270.0,bottom
C24,76.67,-91.17,45.0,bottom
C25,78.040589,-86.090589,225.0,bottom
C3,88.360589,-77.839411,135.0,bottom
C4,86.539411,-77.339411,45.0,bottom
C5,80.560589,-85.760589,45.0,bottom
C6,94.63,-81.14,180.0,bottom
C7,85.789411,-78.059411,45.0,bottom
C8,85.060589,-79.439411,315.0,bottom
C9,91.73,-79.9,135.0,bottom
D1,60.1,-58.5,90.0,bottom
D10,231.9,-58.7,90.0,bottom
D11,250.8,-58.6,90.0,bottom
D12,272.415,-56.4356,90.0,bottom
D13,60.0,-77.3,90.0,bottom
D14,69.6,-77.2,90.0,bottom
D15,103.9,-75.2,180.0,bottom
D16,117.4,-77.6,90.0,bottom
D17,136.8,-77.5,90.0,bottom
D18,155.7,-77.6,90.0,bottom
D19,174.3,-77.4,90.0,bottom
D2,68.6,-50.8,270.0,bottom
D20,194.3,-77.5,90.0,bottom
D21,212.8,-77.7,90.0,bottom
D22,231.8,-77.8,90.0,bottom
D23,251.0,-78.0,90.0,bottom
D24,272.415,-75.4856,90.0,bottom
D25,60.4,-97.2,90.0,bottom
D26,80.9,-97.5,90.0,bottom
D27,99.6,-97.2,90.0,bottom
D28,119.8,-97.0,90.0,bottom
D29,136.5,-96.9,90.0,bottom
D3,98.2,-58.5,90.0,bottom
D30,155.5,-97.0,90.0,bottom
D31,174.7,-96.5,90.0,bottom
D32,193.8,-96.7,90.0,bottom
D33,212.9,-96.8,90.0,bottom
D34,231.8,-96.8,90.0,bottom
D35,251.0,-96.8,90.0,bottom
D36,272.415,-94.5356,90.0,bottom
D37,60.3,-115.525,90.0,bottom
D38,79.3,-115.5,90.0,bottom
D39,98.2,-115.6,90.0,bottom
D4,117.6,-58.5,90.0,bottom
